index	original	background	difference
903	3323	1167	2156
904	3289	1176	2113
905	3264	1192	2072
906	3283	1184	2099
907	3274	1186	2088
908	3320	1189	2131
909	3256	1170	2086
910	3242	1177	2065
911	3335	1191	2144
912	3317	1191	2126
913	3267	1207	2060
914	3243	1186	2057
915	3246	1155	2091
916	3311	1164	2147
917	3319	1177	2142
918	3336	1192	2144
919	3322	1171	2151
920	3279	1166	2113
921	3277	1157	2120
922	3284	1164	2120
923	3283	1193	2090
924	3217	1183	2034
925	3241	1182	2059
926	3294	1171	2123
927	3259	1169	2090
928	3281	1180	2101
929	3301	1186	2115
930	3327	1174	2153
931	3303	1192	2111
932	3284	1193	2091
933	3315	1187	2128
934	3304	1181	2123
935	3286	1198	2088
936	3294	1188	2106
937	3257	1169	2088
938	3286	1164	2122
939	3320	1161	2159
940	3333	1170	2163
941	3299	1183	2116
942	3354	1168	2186
943	3392	1165	2227
944	3332	1175	2157
945	3331	1174	2157
946	3293	1174	2119
947	3281	1173	2108
948	3358	1173	2185
949	3362	1180	2182
950	3308	1176	2132
951	3305	1172	2133
952	3315	1170	2145
953	3329	1163	2166
954	3360	1161	2199
955	3346	1187	2159
956	3368	1178	2190
957	3386	1176	2210
958	3359	1193	2166
959	3366	1184	2182
960	3363	1180	2183
961	3348	1181	2167
962	3383	1170	2213
963	3388	1156	2232
964	3382	1153	2229
965	3402	1181	2221
966	3399	1177	2222
967	3394	1177	2217
968	3387	1154	2233
969	3405	1185	2220
970	3400	1161	2239
971	3339	1172	2167
972	3359	1192	2167
973	3376	1209	2167
974	3367	1202	2165
975	3360	1181	2179
976	3380	1158	2222
977	3402	1167	2235
978	3424	1185	2239
979	3422	1195	2227
980	3414	1169	2245
981	3430	1194	2236
982	3407	1185	2222
983	3379	1177	2202
984	3442	1185	2257
985	3449	1185	2264
986	3426	1173	2253
987	3446	1172	2274
988	3451	1184	2267
989	3500	1198	2302
990	3468	1166	2302
991	3458	1162	2296
992	3503	1177	2326
993	3500	1171	2329
994	3460	1172	2288
995	3445	1194	2251
996	3471	1196	2275
997	3449	1174	2275
998	3473	1160	2313
999	3487	1169	2318
1000	3516	1207	2309
1001	3467	1172	2295
1002	3495	1160	2335
1003	3535	1192	2343
1004	3499	1180	2319
1005	3492	1163	2329
1006	3482	1161	2321
1007	3533	1182	2351
1008	3517	1186	2331
1009	3533	1160	2373
1010	3532	1145	2387
1011	3507	1171	2336
1012	3517	1172	2345
1013	3497	1196	2301
1014	3532	1198	2334
1015	3575	1196	2379
1016	3521	1174	2347
1017	3524	1170	2354
1018	3586	1183	2403
1019	3545	1192	2353
1020	3580	1186	2394
1021	3595	1173	2422
1022	3630	1173	2457
1023	3587	1147	2440
1024	3568	1158	2410
1025	3653	1175	2478
1026	3645	1160	2485
1027	3565	1173	2392
1028	3588	1190	2398
1029	3623	1176	2447
1030	3626	1178	2448
1031	3600	1157	2443
1032	3603	1152	2451
1033	3647	1188	2459
1034	3641	1202	2439
1035	3660	1196	2464
1036	3674	1177	2497
1037	3643	1191	2452
1038	3661	1168	2493
1039	3677	1169	2508
1040	3647	1167	2480
1041	3658	1166	2492
1042	3689	1150	2539
1043	3697	1181	2516
1044	3680	1209	2471
1045	3652	1191	2461
1046	3685	1185	2500
1047	3697	1172	2525
1048	3737	1183	2554
1049	3745	1174	2571
1050	3706	1136	2570
1051	3720	1159	2561
1052	3758	1172	2586
1053	3780	1182	2598
1054	3764	1185	2579
1055	3716	1186	2530
1056	3720	1198	2522
1057	3766	1172	2594
1058	3782	1166	2616
1059	3734	1177	2557
1060	3737	1172	2565
1061	3771	1164	2607
1062	3774	1167	2607
1063	3780	1164	2616
1064	3772	1146	2626
1065	3782	1162	2620
1066	3769	1167	2602
1067	3756	1168	2588
1068	3757	1160	2597
1069	3764	1169	2595
1070	3820	1188	2632
1071	3843	1200	2643
1072	3818	1204	2614
1073	3785	1186	2599
1074	3805	1162	2643
1075	3814	1174	2640
1076	3884	1155	2729
1077	3876	1166	2710
1078	3806	1179	2627
1079	3839	1185	2654
1080	3903	1176	2727
1081	3897	1198	2699
1082	3886	1203	2683
1083	3926	1190	2736
1084	3886	1183	2703
1085	3857	1192	2665
1086	3923	1177	2746
1087	3971	1179	2792
1088	3958	1194	2764
1089	3929	1175	2754
1090	3912	1151	2761
1091	3884	1169	2715
1092	3844	1186	2658
1093	3893	1165	2728
1094	3919	1148	2771
1095	3953	1166	2787
1096	3984	1172	2812
1097	3958	1170	2788
1098	3900	1180	2720
1099	3875	1187	2688
1100	3953	1169	2784
1101	3916	1179	2737
1102	3980	1169	2811
1103	4034	1170	2864
1104	4041	1180	2861
1105	3989	1194	2795
1106	3992	1178	2814
1107	3991	1147	2844
1108	4010	1158	2852
1109	3977	1158	2819
1110	4019	1166	2853
1111	3982	1175	2807
1112	4016	1167	2849
1113	3996	1158	2838
1114	4048	1162	2886
1115	4052	1172	2880
1116	4019	1170	2849
1117	4061	1176	2885
1118	4039	1198	2841
1119	4136	1188	2948
1120	4112	1161	2951
1121	4105	1177	2928
1122	4103	1182	2921
1123	4110	1167	2943
1124	4106	1169	2937
1125	4074	1178	2896
1126	4050	1164	2886
1127	4047	1173	2874
1128	4116	1196	2920
1129	4085	1211	2874
1130	4084	1207	2877
1131	4123	1204	2919
1132	4156	1201	2955
1133	4134	1188	2946
1134	4134	1173	2961
1135	4132	1200	2932
1136	4150	1194	2956
1137	4124	1177	2947
1138	4116	1190	2926
1139	4075	1192	2883
